event_id,raw_count,aoi_count,valid_count,invalid_count,duplicate_count,imagery_covered_count,final_candidate_count
TN_VARDAH_2016,211382,211006,211382,0,0,211382,211006
TN_GAJA_2018,69725,69642,69725,0,0,69725,69642
TN_NIVAR_2020,109875,109682,109875,0,0,109875,109682
TN_MANDOUS_2022,34468,34393,34468,0,0,34468,34393
TN_SOUTHERN_FLOOD_2023,172185,171959,172185,0,0,172185,171959
TN_OCKHI_2017,74829,74731,74829,0,0,74829,74731
TN_FENGAL_2024,146061,145824,146061,0,0,146061,145824
TN_CHENNAI_FLOOD_2021,211382,211006,211382,0,0,211382,211006
TN_BUREVI_2020,102458,102266,102458,0,0,102458,102266
TN_NADA_2016,109875,109682,109875,0,0,109875,109682
