event_id,aoi_area_km2,number_of_buildings,buildings_per_km2,total_building_footprint_area_m2,mean_building_area_m2,median_building_area_m2,95th_percentile_building_area_m2
TN_VARDAH_2016,269.78,211006,782.15,23897892.19,113.26,72.64,305.9
TN_GAJA_2018,272.1,69642,255.95,4695329.91,67.42,44.06,178.41
TN_NIVAR_2020,271.21,109682,404.42,7208617.04,65.72,45.44,163.43
TN_MANDOUS_2022,270.27,34393,127.25,2775383.86,80.7,44.23,211.15
TN_SOUTHERN_FLOOD_2023,274.21,171959,627.11,12902588.09,75.03,54.23,182.11
TN_OCKHI_2017,274.58,74731,272.16,4802374.81,64.26,48.53,154.6
TN_FENGAL_2024,271.01,145824,538.07,12001761.11,82.3,57.7,197.79
TN_CHENNAI_FLOOD_2021,269.78,211006,782.15,23897892.19,113.26,72.64,305.9
TN_BUREVI_2020,274.22,102266,372.93,9029479.83,88.29,46.71,225.44
TN_NADA_2016,271.21,109682,404.42,7208617.04,65.72,45.44,163.43
