building_id,event_id,sample_type,s1_pre_valid,s1_post_valid,s2_pre_valid,s2_post_valid,output_dir,geometry_hash,building_area_m2,district,disaster_type,event_name,impact_date,s1_pre_date,s1_post_date,s2_pre_date,s2_post_date,s1_available,s2_available,optical_available,mask_sum,mask_fraction,crs
TN_VARDAH_2016_000003,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000003,30bb327b00cede47,25.17,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,2,0.001953125,EPSG:32644
TN_VARDAH_2016_000001,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000001,db92a6a44d83af46,10.56,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,3,0.0029296875,EPSG:32644
TN_VARDAH_2016_021812,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_021812,9928206cb5ffd2e8,50.78,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,4,0.00390625,EPSG:32644
TN_VARDAH_2016_046548,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_046548,ef753ca579845ad9,108.31,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,6,0.005859375,EPSG:32644
TN_VARDAH_2016_071278,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_071278,29a1f4c6e437735a,34.54,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,2,0.001953125,EPSG:32644
TN_VARDAH_2016_071942,TN_VARDAH_2016,SAR_ONLY,90.62,90.62,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_071942,7be06f1776fc023c,38.53,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,2,0.001953125,EPSG:32644
TN_VARDAH_2016_096226,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_096226,621010d25244a20a,432.52,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,12,0.01171875,EPSG:32644
TN_VARDAH_2016_123776,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_123776,259b9bd8c8af39e0,43.19,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,4,0.00390625,EPSG:32644
TN_VARDAH_2016_153525,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_153525,603136a2ff806e01,32.74,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,3,0.0029296875,EPSG:32644
TN_VARDAH_2016_183189,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_183189,a7fd0d22482af66f,61.14,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,4,0.00390625,EPSG:32644
TN_VARDAH_2016_000002,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000002,e489955c850b1c04,20.97,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,2,0.001953125,EPSG:32644
TN_VARDAH_2016_000004,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000004,9c37601871634f5c,48.75,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,4,0.00390625,EPSG:32644
TN_VARDAH_2016_021814,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_021814,af2750375901ea5d,51.22,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,4,0.00390625,EPSG:32644
TN_VARDAH_2016_046553,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_046553,15f776b96bcbe266,62.18,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,4,0.00390625,EPSG:32644
TN_VARDAH_2016_071277,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_071277,556a049d42b18358,57.17,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,4,0.00390625,EPSG:32644
TN_VARDAH_2016_072795,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_072795,733b4ff625fd83d5,121.94,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,6,0.005859375,EPSG:32644
TN_VARDAH_2016_096267,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_096267,e7088067bbfef6cd,84.42,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,4,0.00390625,EPSG:32644
TN_VARDAH_2016_123782,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_123782,22af4305603596e2,150.12,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,4,0.00390625,EPSG:32644
TN_VARDAH_2016_153527,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_153527,14c7313328419095,37.58,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,4,0.00390625,EPSG:32644
TN_VARDAH_2016_183194,TN_VARDAH_2016,SAR_ONLY,84.38,84.38,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_183194,c09db73918d36b5b,145.74,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,4,0.00390625,EPSG:32644
TN_VARDAH_2016_004983,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_004983,65dde066ce2a9464,17.56,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,2,0.001953125,EPSG:32644
TN_VARDAH_2016_005013,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_005013,d89319a9f896e412,219.01,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,7,0.0068359375,EPSG:32644
TN_VARDAH_2016_026771,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_026771,79a0907934fca7e7,34.13,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,4,0.00390625,EPSG:32644
TN_VARDAH_2016_051508,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_051508,8e226bf46805ac6c,132.37,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,4,0.00390625,EPSG:32644
TN_VARDAH_2016_076255,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_076255,490833c4aa21b0d7,36.23,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,2,0.001953125,EPSG:32644
TN_VARDAH_2016_076370,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_076370,933faa7216e3863c,97.84,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,6,0.005859375,EPSG:32644
TN_VARDAH_2016_101198,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_101198,417a845f7dbbb8de,13.85,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,1,0.0009765625,EPSG:32644
TN_VARDAH_2016_128748,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_128748,d88bd59b75adfbed,28.13,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,4,0.00390625,EPSG:32644
TN_VARDAH_2016_158503,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_158503,a6b44fd754683495,129.38,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,4,0.00390625,EPSG:32644
TN_VARDAH_2016_188127,TN_VARDAH_2016,SAR_ONLY,100.0,100.0,0.0,0.0,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_188127,27b87200b7c1d146,16.96,Chennai,cyclones,Cyclone Vardah 2016,2016-12-12,1SDV,1SDV,none,none,True,False,False,2,0.001953125,EPSG:32644
