building_id,event_id,event_name,district,disaster_type,label,label_name,confidence,evidence_type,evidence_tier,evidence_source,evidence_url,evidence_geometry_available,evidence_description,spatial_match_status,building_area,intersection_area,overlap_ratio,geometry_hash,multi_event_flag,sample_type,sar_pre_path,sar_post_path,optical_pre_path,optical_post_path,building_mask_path,chip_size,resolution,crs,split
TN_VARDAH_2016_000003,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,0,INTACT,HIGH,DISASTER_ASSESSMENT,TIER_2_STRONG,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,TRUE,Footprint remains structurally intact after storm landfall verification.,PASS_SUPPORTED,25.17,25.17,1.0,30bb327b00cede47,MULTI_EVENT_BUILDING,SAR_ONLY,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000003/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000003/sar_post.npy,none,none,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000003/building_mask.npy,1,10.0,EPSG:32644,train
TN_VARDAH_2016_000001,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,1,DAMAGED,MEDIUM,DISASTER_ASSESSMENT,TIER_2_STRONG,Copernicus Emergency Management Service damage grading,https://emergency.copernicus.eu/,TRUE,Credit building damage reported by joint satellite analysis.,PASS_SUPPORTED,10.56,10.56,1.0,db92a6a44d83af46,MULTI_EVENT_BUILDING,SAR_ONLY,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000001/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000001/sar_post.npy,none,none,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000001/building_mask.npy,1,10.0,EPSG:32644,train
TN_VARDAH_2016_021812,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,0,INTACT,HIGH,DISASTER_ASSESSMENT,TIER_2_STRONG,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,TRUE,Footprint remains structurally intact after storm landfall verification.,PASS_SUPPORTED,50.78,50.78,1.0,9928206cb5ffd2e8,MULTI_EVENT_BUILDING,SAR_ONLY,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_021812/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_021812/sar_post.npy,none,none,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_021812/building_mask.npy,2,10.0,EPSG:32644,train
TN_VARDAH_2016_046548,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,0,INTACT,HIGH,DISASTER_ASSESSMENT,TIER_2_STRONG,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,TRUE,Footprint remains structurally intact after storm landfall verification.,PASS_SUPPORTED,108.31,108.31,1.0,ef753ca579845ad9,MULTI_EVENT_BUILDING,SAR_ONLY,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_046548/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_046548/sar_post.npy,none,none,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_046548/building_mask.npy,2,10.0,EPSG:32644,train
TN_VARDAH_2016_071942,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,1,DAMAGED,MEDIUM,DISASTER_ASSESSMENT,TIER_2_STRONG,Copernicus Emergency Management Service damage grading,https://emergency.copernicus.eu/,TRUE,Credit building damage reported by joint satellite analysis.,PASS_SUPPORTED,38.53,38.53,1.0,7be06f1776fc023c,MULTI_EVENT_BUILDING,SAR_ONLY,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_071942/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_071942/sar_post.npy,none,none,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_071942/building_mask.npy,1,10.0,EPSG:32644,train
TN_VARDAH_2016_096226,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,0,INTACT,HIGH,DISASTER_ASSESSMENT,TIER_2_STRONG,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,TRUE,Footprint remains structurally intact after storm landfall verification.,PASS_SUPPORTED,432.52,432.52,1.0,621010d25244a20a,MULTI_EVENT_BUILDING,SAR_ONLY,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_096226/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_096226/sar_post.npy,none,none,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_096226/building_mask.npy,3,10.0,EPSG:32644,train
TN_VARDAH_2016_123776,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,0,INTACT,HIGH,DISASTER_ASSESSMENT,TIER_2_STRONG,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,TRUE,Footprint remains structurally intact after storm landfall verification.,PASS_SUPPORTED,43.19,43.19,1.0,259b9bd8c8af39e0,MULTI_EVENT_BUILDING,SAR_ONLY,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_123776/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_123776/sar_post.npy,none,none,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_123776/building_mask.npy,2,10.0,EPSG:32644,train
TN_VARDAH_2016_153525,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,0,INTACT,HIGH,DISASTER_ASSESSMENT,TIER_2_STRONG,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,TRUE,Footprint remains structurally intact after storm landfall verification.,PASS_SUPPORTED,32.74,32.74,1.0,603136a2ff806e01,MULTI_EVENT_BUILDING,SAR_ONLY,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_153525/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_153525/sar_post.npy,none,none,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_153525/building_mask.npy,1,10.0,EPSG:32644,train
TN_VARDAH_2016_183189,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,2,DESTROYED,HIGH,HIGH_RES_PRE_POST,TIER_3_STRONG,UNOSAT detailed damage assessment shapes,https://emergency.copernicus.eu/,TRUE,Authoritative building complete collapse verification.,PASS_SUPPORTED,61.14,61.14,1.0,a7fd0d22482af66f,MULTI_EVENT_BUILDING,SAR_ONLY,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_183189/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_183189/sar_post.npy,none,none,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_183189/building_mask.npy,2,10.0,EPSG:32644,train
TN_VARDAH_2016_000002,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,0,INTACT,HIGH,DISASTER_ASSESSMENT,TIER_2_STRONG,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,TRUE,Footprint remains structurally intact after storm landfall verification.,PASS_SUPPORTED,20.97,20.97,1.0,e489955c850b1c04,MULTI_EVENT_BUILDING,SAR_ONLY,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000002/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000002/sar_post.npy,none,none,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000002/building_mask.npy,1,10.0,EPSG:32644,train
TN_VARDAH_2016_000004,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,1,DAMAGED,MEDIUM,DISASTER_ASSESSMENT,TIER_2_STRONG,Copernicus Emergency Management Service damage grading,https://emergency.copernicus.eu/,TRUE,Credit building damage reported by joint satellite analysis.,PASS_SUPPORTED,48.75,48.75,1.0,9c37601871634f5c,MULTI_EVENT_BUILDING,SAR_ONLY,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000004/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000004/sar_post.npy,none,none,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000004/building_mask.npy,2,10.0,EPSG:32644,train
TN_VARDAH_2016_021814,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,0,INTACT,HIGH,DISASTER_ASSESSMENT,TIER_2_STRONG,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,TRUE,Footprint remains structurally intact after storm landfall verification.,PASS_SUPPORTED,51.22,51.22,1.0,af2750375901ea5d,MULTI_EVENT_BUILDING,SAR_ONLY,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_021814/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_021814/sar_post.npy,none,none,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_021814/building_mask.npy,2,10.0,EPSG:32644,train
TN_VARDAH_2016_046553,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,1,DAMAGED,MEDIUM,DISASTER_ASSESSMENT,TIER_2_STRONG,Copernicus Emergency Management Service damage grading,https://emergency.copernicus.eu/,TRUE,Credit building damage reported by joint satellite analysis.,PASS_SUPPORTED,62.18,62.18,1.0,15f776b96bcbe266,MULTI_EVENT_BUILDING,SAR_ONLY,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_046553/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_046553/sar_post.npy,none,none,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_046553/building_mask.npy,2,10.0,EPSG:32644,train
TN_VARDAH_2016_071277,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,0,INTACT,HIGH,DISASTER_ASSESSMENT,TIER_2_STRONG,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,TRUE,Footprint remains structurally intact after storm landfall verification.,PASS_SUPPORTED,57.17,57.17,1.0,556a049d42b18358,MULTI_EVENT_BUILDING,SAR_ONLY,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_071277/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_071277/sar_post.npy,none,none,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_071277/building_mask.npy,2,10.0,EPSG:32644,train
