group_type,group_value,intact,damaged,destroyed,total
event,TN_VARDAH_2016,877,136,30,1043
event,TN_GAJA_2018,886,136,30,1052
event,TN_NIVAR_2020,237,127,20,384
event,TN_MANDOUS_2022,0,131,33,164
event,TN_SOUTHERN_FLOOD_2023,0,25,10,35
event,TN_OCKHI_2017,0,120,37,157
event,TN_FENGAL_2024,0,130,49,179
event,TN_CHENNAI_FLOOD_2021,0,9,8,17
event,TN_BUREVI_2020,0,18,4,22
event,TN_NADA_2016,0,145,38,183
district,Chennai,877,145,38,1060
district,Nagapattinam,886,136,30,1052
district,Cuddalore,237,272,58,567
district,Chengalpattu,0,131,33,164
district,Tirunelveli,0,25,10,35
district,Kanyakumari,0,120,37,157
district,Villupuram,0,130,49,179
district,Thoothukudi,0,18,4,22
modality,SAR_ONLY,1874,888,238,3000
modality,MULTIMODAL,126,89,21,236
