category,intact,damaged,destroyed,total
Overall,6612,977,259,7848
Split_train,4674,708,185,5567
Split_val,169,18,4,191
Split_test,1769,251,70,2090
Event_TN_VARDAH_2016,877,136,30,1043
Event_TN_GAJA_2018,886,136,30,1052
Event_TN_NIVAR_2020,878,127,20,1025
Event_TN_MANDOUS_2022,886,131,33,1050
Event_TN_SOUTHERN_FLOOD_2023,212,25,10,247
Event_TN_OCKHI_2017,883,120,37,1040
Event_TN_FENGAL_2024,854,130,49,1033
Event_TN_CHENNAI_FLOOD_2021,97,9,8,114
Event_TN_BUREVI_2020,169,18,4,191
Event_TN_NADA_2016,870,145,38,1053
District_Chennai,974,145,38,1157
District_Nagapattinam,886,136,30,1052
District_Cuddalore,1748,272,58,2078
District_Chengalpattu,886,131,33,1050
District_Tirunelveli,212,25,10,247
District_Kanyakumari,883,120,37,1040
District_Villupuram,854,130,49,1033
District_Thoothukudi,169,18,4,191
Disaster_cyclones,6303,943,241,7487
Disaster_floods,309,34,18,361
