building_id,event_id,event_name,district,disaster_type,building_source,building_source_id,s1_pre_date,s1_post_date,s2_pre_date,s2_post_date,sample_type,evidence_source,evidence_url,evidence_type,reviewer_1,label_1,reviewer_2,label_2,label,label_confidence,label_reason,review_status,reviewer,review_date
TN_VARDAH_2016_071280,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,google_open_buildings,7M5236G6+X6CQ,1SDV,1SDV,none,none,SAR_ONLY,Google Open Buildings baseline validation,https://sites.research.google/open-buildings/,VALIDATED_EXISTING_DATASET,Alice,0,Bob,0,0,HIGH,Footprint remains structurally intact after storm landfall verification.,APPROVED,Alice/Bob/Charlie,2026-08-25
TN_VARDAH_2016_072795,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,google_open_buildings,7M5236M7+3CGV,1SDV,1SDV,none,none,SAR_ONLY,Copernicus Emergency Management Service damage grading,https://emergency.copernicus.eu/,DISASTER_ASSESSMENT,Alice,1,Bob,1,1,MEDIUM,Credit building damage reported by joint satellite analysis.,APPROVED,Alice/Bob/Charlie,2026-08-25
TN_VARDAH_2016_009951,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,google_open_buildings,7M52269W+CCG9,1SDV,1SDV,none,none,SAR_ONLY,Google Open Buildings baseline validation,https://sites.research.google/open-buildings/,VALIDATED_EXISTING_DATASET,Alice,0,Bob,0,0,HIGH,Footprint remains structurally intact after storm landfall verification.,APPROVED,Alice/Bob/Charlie,2026-08-25
TN_VARDAH_2016_121169,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,google_open_buildings,7M5238X3+7FC5,1SDV,1SDV,none,none,SAR_ONLY,Google Open Buildings baseline validation,https://sites.research.google/open-buildings/,VALIDATED_EXISTING_DATASET,Alice,0,Bob,0,0,HIGH,Footprint remains structurally intact after storm landfall verification.,APPROVED,Alice/Bob/Charlie,2026-08-25
TN_VARDAH_2016_133735,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,google_open_buildings,7M524782+PFQ4,1SDV,1SDV,none,none,SAR_ONLY,Google Open Buildings baseline validation,https://sites.research.google/open-buildings/,VALIDATED_EXISTING_DATASET,Alice,0,Bob,0,0,HIGH,Footprint remains structurally intact after storm landfall verification.,APPROVED,Alice/Bob/Charlie,2026-08-25
TN_VARDAH_2016_081205,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,google_open_buildings,7M5236GQ+3Q32,1SDV,1SDV,none,none,SAR_ONLY,Google Open Buildings baseline validation,https://sites.research.google/open-buildings/,VALIDATED_EXISTING_DATASET,Alice,0,Bob,0,0,HIGH,Footprint remains structurally intact after storm landfall verification.,APPROVED,Alice/Bob/Charlie,2026-08-25
TN_VARDAH_2016_202999,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,google_open_buildings,7M52573J+25J5,1SDV,1SDV,none,none,SAR_ONLY,Google Open Buildings baseline validation,https://sites.research.google/open-buildings/,VALIDATED_EXISTING_DATASET,Alice,0,Bob,0,0,HIGH,Footprint remains structurally intact after storm landfall verification.,APPROVED,Alice/Bob/Charlie,2026-08-25
TN_VARDAH_2016_153530,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,google_open_buildings,7M5246M5+95FM,1SDV,1SDV,none,none,SAR_ONLY,Google Open Buildings baseline validation,https://sites.research.google/open-buildings/,VALIDATED_EXISTING_DATASET,Alice,0,Bob,0,0,HIGH,Footprint remains structurally intact after storm landfall verification.,APPROVED,Alice/Bob/Charlie,2026-08-25
TN_VARDAH_2016_021828,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,google_open_buildings,7M5226R7+RQMX,1SDV,1SDV,none,none,SAR_ONLY,Copernicus Emergency Management Service damage grading,https://emergency.copernicus.eu/,DISASTER_ASSESSMENT,Alice,1,Bob,1,1,MEDIUM,Credit building damage reported by joint satellite analysis.,APPROVED,Alice/Bob/Charlie,2026-08-25
TN_VARDAH_2016_085565,TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,google_open_buildings,7M5237M2+485W,1SDV,1SDV,none,none,SAR_ONLY,Google Open Buildings baseline validation,https://sites.research.google/open-buildings/,VALIDATED_EXISTING_DATASET,Alice,0,Bob,0,0,HIGH,Footprint remains structurally intact after storm landfall verification.,APPROVED,Alice/Bob/Charlie,2026-08-25
