event_id,event_name,district,disaster_type,sensor,pre_or_post,product_id,acquisition_date,source,source_url,file_path,file_size_mb,sha256,crs,resolution,width,height,bounds,cloud_percentage,valid_pixel_percentage,aoi_coverage,quality_tier,qc_status
TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,Sentinel-1,PRE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20161130T003135_20161130T003200_014164_016E0D_675E,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_PRE.tif,18.34,ad60be6c786a1d3c6b056fe95e387c8c95ac68d9abaedd8d2e823dac6ae85144,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,1.0,S1_TIER_1 = EXCELLENT,PASS
TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,Sentinel-1,POST,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20161218T003051_20161218T003125_003443_005E20_4C67,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_POST.tif,18.4,52b15acda9e5b750eb2e60101ea4c992dc7dd9e03141afb7b204be818cac981c,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,1.0,S1_TIER_1 = EXCELLENT,PASS
TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,Sentinel-1,PRE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20161130T003135_20161130T003200_014164_016E0D_675E,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_PRE.tif,20.74,31864749a28f11c69edf3a6c4d670678bb2f102df3d418c7c4f3dbd227bab94e,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,1.0,S1_TIER_1 = EXCELLENT,PASS
TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,Sentinel-1,POST,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20161218T003051_20161218T003125_003443_005E20_4C67,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_POST.tif,20.74,79fae0b37651b92aa3909d204fcd4f9e37f209e8d038cba047933617e972bec0,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,1.0,S1_TIER_1 = EXCELLENT,PASS
TN_GAJA_2018,Cyclone Gaja 2018,Nagapattinam,cyclones,Sentinel-1,PRE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181108T003213_20181108T003238_024489_02AF7A_4E6C,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_PRE.tif,18.31,3cd10e15a7ee7ead636296695f9373359b441ae5fb24f05413bdc77b837429f1,EPSG:32644,10.0,1647,1666,"BoundingBox(left=365230.0, bottom=1181970.0, right=381700.0, top=1198630.0)",N/A,100.0,1.0,S1_TIER_1 = EXCELLENT,PASS
TN_GAJA_2018,Cyclone Gaja 2018,Nagapattinam,cyclones,Sentinel-1,POST,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181120T003213_20181120T003238_024664_02B5ED_EB05,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_POST.tif,18.35,bc093cc907346a6970f4a62c8b9278fd50155d90a19ebbcea9d11aff7c798496,EPSG:32644,10.0,1647,1666,"BoundingBox(left=365230.0, bottom=1181970.0, right=381700.0, top=1198630.0)",N/A,100.0,1.0,S1_TIER_1 = EXCELLENT,PASS
TN_GAJA_2018,Cyclone Gaja 2018,Nagapattinam,cyclones,Sentinel-1,PRE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181108T003213_20181108T003238_024489_02AF7A_4E6C,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_PRE.tif,20.94,dc90d8606057bd67d205e4d05b77703c7fbf5b4e835a208774bb642984c779ab,EPSG:32644,10.0,1647,1666,"BoundingBox(left=365230.0, bottom=1181970.0, right=381700.0, top=1198630.0)",N/A,100.0,1.0,S1_TIER_1 = EXCELLENT,PASS
TN_GAJA_2018,Cyclone Gaja 2018,Nagapattinam,cyclones,Sentinel-1,POST,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181120T003213_20181120T003238_024664_02B5ED_EB05,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_POST.tif,20.94,55b1273a28659a0e46a535e3c6cf14d79a2c5e5feda391117b3488730109b9d7,EPSG:32644,10.0,1647,1666,"BoundingBox(left=365230.0, bottom=1181970.0, right=381700.0, top=1198630.0)",N/A,100.0,1.0,S1_TIER_1 = EXCELLENT,PASS
TN_NIVAR_2020,Cyclone Nivar 2020,Cuddalore,cyclones,Sentinel-1,PRE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201121T003206_20201121T003231_035339_0420EC_F580,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_PRE.tif,18.08,0cdbe473e6947957014fc685fa1acf83525f756bbc584a64b75ab4b13b8cb92e,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",N/A,99.55,1.0,S1_TIER_1 = EXCELLENT,PASS
TN_NIVAR_2020,Cyclone Nivar 2020,Cuddalore,cyclones,Sentinel-1,POST,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201203T003206_20201203T003231_035514_0426F6_0C55,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_POST.tif,18.17,04d8d4b6ee3a086484facc444931a6f9bcf75b1ff136e1d70ca8881a53bd7f10,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",N/A,99.54,1.0,S1_TIER_1 = EXCELLENT,PASS
