event_id,product_id,product_name,satellite,acquisition_date,processing_level,mode,polarization,orbit_direction,relative_orbit,pre_or_post,aoi_coverage,source,source_url,download_status,file_path,sha256,notes
TN_CHENNAI_FLOOD_2015,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20151031T003131_20151031T003200_008389_00BD95_33F3,S1A_IW_GRDH_1SDV_20151031T003131_20151031T003200_008389_00BD95_33F3,Sentinel-1A,2015-10-31,GRD,IW,"VV,VH",DESCENDING,92,PRE,1.0,GEE,https://earthengine.googleapis.com,downloaded,data/tamil_nadu/processed/TN_CHENNAI_FLOOD_2015/sentinel1/TN_CHENNAI_FLOOD_2015_S1_PRE.tif,27e9bd45e07c56a4770dc9a2bfbb9b92ded87f1388697e64191544bd0fd444e4,Aligned using: direct_copy_grid_aligned
TN_CHENNAI_FLOOD_2015,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20151206T003120_20151206T003149_008914_00CC1F_BEF9,S1A_IW_GRDH_1SDV_20151206T003120_20151206T003149_008914_00CC1F_BEF9,Sentinel-1A,2015-12-06,GRD,IW,"VV,VH",DESCENDING,92,POST,1.0,GEE,https://earthengine.googleapis.com,downloaded,data/tamil_nadu/processed/TN_CHENNAI_FLOOD_2015/sentinel1/TN_CHENNAI_FLOOD_2015_S1_POST.tif,00ab5c2da87e93ff1f7217533da94e3112d0b99cdc2e0abcb4fb35853cf1a8dd,Aligned using: direct_copy_grid_aligned
TN_VARDAH_2016,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20161130T003135_20161130T003200_014164_016E0D_675E,S1A_IW_GRDH_1SDV_20161130T003135_20161130T003200_014164_016E0D_675E,Sentinel-1A,2016-11-30,GRD,IW,"VV,VH",DESCENDING,92,PRE,1.0,GEE,https://earthengine.googleapis.com,downloaded,data/tamil_nadu/processed/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_PRE.tif,31864749a28f11c69edf3a6c4d670678bb2f102df3d418c7c4f3dbd227bab94e,Aligned using: direct_copy_grid_aligned
TN_VARDAH_2016,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20161218T003051_20161218T003125_003443_005E20_4C67,S1B_IW_GRDH_1SDV_20161218T003051_20161218T003125_003443_005E20_4C67,Sentinel-1B,2016-12-18,GRD,IW,"VV,VH",DESCENDING,92,POST,1.0,GEE,https://earthengine.googleapis.com,downloaded,data/tamil_nadu/processed/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_POST.tif,79fae0b37651b92aa3909d204fcd4f9e37f209e8d038cba047933617e972bec0,Aligned using: direct_copy_grid_aligned
TN_GAJA_2018,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181108T003213_20181108T003238_024489_02AF7A_4E6C,S1A_IW_GRDH_1SDV_20181108T003213_20181108T003238_024489_02AF7A_4E6C,Sentinel-1A,2018-11-08,GRD,IW,"VV,VH",DESCENDING,92,PRE,1.0,GEE,https://earthengine.googleapis.com,downloaded,data/tamil_nadu/processed/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_PRE.tif,dc90d8606057bd67d205e4d05b77703c7fbf5b4e835a208774bb642984c779ab,Aligned using: direct_copy_grid_aligned
TN_GAJA_2018,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181120T003213_20181120T003238_024664_02B5ED_EB05,S1A_IW_GRDH_1SDV_20181120T003213_20181120T003238_024664_02B5ED_EB05,Sentinel-1A,2018-11-20,GRD,IW,"VV,VH",DESCENDING,92,POST,1.0,GEE,https://earthengine.googleapis.com,downloaded,data/tamil_nadu/processed/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_POST.tif,55b1273a28659a0e46a535e3c6cf14d79a2c5e5feda391117b3488730109b9d7,Aligned using: direct_copy_grid_aligned
TN_NIVAR_2020,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201121T003206_20201121T003231_035339_0420EC_F580,S1A_IW_GRDH_1SDV_20201121T003206_20201121T003231_035339_0420EC_F580,Sentinel-1A,2020-11-21,GRD,IW,"VV,VH",DESCENDING,92,PRE,1.0,GEE,https://earthengine.googleapis.com,downloaded,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_PRE.tif,a03dce973dbda654f03b30b41d68550c33596bcac247f3f2d11bec40dfc30fca,Aligned using: direct_copy_grid_aligned
TN_NIVAR_2020,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201203T003206_20201203T003231_035514_0426F6_0C55,S1A_IW_GRDH_1SDV_20201203T003206_20201203T003231_035514_0426F6_0C55,Sentinel-1A,2020-12-03,GRD,IW,"VV,VH",DESCENDING,92,POST,1.0,GEE,https://earthengine.googleapis.com,downloaded,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_POST.tif,08afeb39b5720fc1161679ef20daaabbda005969b34993badb5ac6b5260cbf59,Aligned using: direct_copy_grid_aligned
TN_MICHAUNG_2023,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231130T003201_20231130T003226_051439_06353D_343D,S1A_IW_GRDH_1SDV_20231130T003201_20231130T003226_051439_06353D_343D,Sentinel-1A,2023-11-30,GRD,IW,"VV,VH",DESCENDING,92,PRE,1.0,GEE,https://earthengine.googleapis.com,downloaded,data/tamil_nadu/processed/TN_MICHAUNG_2023/sentinel1/TN_MICHAUNG_2023_S1_PRE.tif,e8a50044527fd0d697bf91e0d4f72c3933d7407a36b7614c8292c95325c2d522,Aligned using: direct_copy_grid_aligned
TN_MICHAUNG_2023,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240117T003158_20240117T003223_052139_064D5D_F7B4,S1A_IW_GRDH_1SDV_20240117T003158_20240117T003223_052139_064D5D_F7B4,Sentinel-1A,2024-01-17,GRD,IW,"VV,VH",DESCENDING,92,POST,1.0,GEE,https://earthengine.googleapis.com,downloaded,data/tamil_nadu/processed/TN_MICHAUNG_2023/sentinel1/TN_MICHAUNG_2023_S1_POST.tif,c410b488f48a275848cd487723c4568e34bb87db37081219ada30d42b2713ec7,Aligned using: direct_copy_grid_aligned
