event_id,event_name,state,district,disaster_type,impact_date,event_start,event_end,latitude,longitude,source_name,source_url,source_type,verification_status,notes
TN_CHENNAI_FLOOD_2015,Chennai Floods 2015,Tamil Nadu,Chennai,floods,2015-12-01,2015-11-08,2015-12-08,13.0827,80.2707,IMD meteorological report,https://mausam.imd.gov.in/,report,verified,Severe flooding caused by extreme monsoon rainfall and reservoir discharges.
TN_VARDAH_2016,Cyclone Vardah 2016,Tamil Nadu,Chennai,cyclones,2016-12-12,2016-12-08,2016-12-14,13.0827,80.2707,IMD Vardah Report,https://mausam.imd.gov.in/,report,verified,Severe cyclonic storm landfall near Chennai causing significant damage.
TN_GAJA_2018,Cyclone Gaja 2018,Tamil Nadu,Nagapattinam,cyclones,2018-11-16,2018-11-10,2018-11-19,10.7656,79.8427,IMD Gaja Report,https://mausam.imd.gov.in/,report,verified,Severe cyclonic storm crossing coast near Vedaranyam / Nagapattinam.
TN_NIVAR_2020,Cyclone Nivar 2020,Tamil Nadu,Cuddalore,cyclones,2020-11-26,2020-11-23,2020-11-27,11.748,79.7714,IMD Nivar Report,https://mausam.imd.gov.in/,report,verified,Very Severe Cyclonic Storm making landfall near Cuddalore coast.
TN_MICHAUNG_2023,Cyclone Michaung 2023,Tamil Nadu,Chennai,extreme rainfall,2023-12-04,2023-12-02,2023-12-06,13.0827,80.2707,IMD Michaung Report,https://mausam.imd.gov.in/,report,verified,Severe cyclonic storm approach causing extreme deluge and flood inundation in Chennai.
TN_MANDOUS_2022,Cyclone Mandous 2022,Tamil Nadu,Chengalpattu,cyclones,2022-12-09,2022-12-07,2022-12-11,12.6205,80.1947,IMD Cyclone Mandous Report,https://mausam.imd.gov.in/,report,verified,Landfall near Mamallapuram causing heavy rainfall and storm surge.
TN_SOUTHERN_FLOOD_2023,Southern Districts Floods 2023,Tamil Nadu,Tirunelveli,floods,2023-12-17,2023-12-16,2023-12-20,8.73,77.7,IMD Southern India Floods Dec 2023,https://mausam.imd.gov.in/,report,verified,"Extreme record-breaking rainfall hitting Tirunelveli, Thoothukudi, and Tenkasi."
TN_OCKHI_2017,Cyclone Ockhi 2017,Tamil Nadu,Kanyakumari,cyclones,2017-11-30,2017-11-29,2017-12-03,8.09,77.54,IMD Cyclone Ockhi Report,https://mausam.imd.gov.in/,report,verified,Passed Kanyakumari causing severe structural damage and heavy flooding.
TN_FENGAL_2024,Cyclone Fengal 2024,Tamil Nadu,Villupuram,cyclones,2024-11-30,2024-11-27,2024-12-03,11.94,79.81,IMD Cyclone Fengal Report,https://mausam.imd.gov.in/,report,verified,Landfall near Puducherry/Villupuram causing severe coastal flooding and storm damage.
TN_CHENNAI_FLOOD_2021,Chennai Floods 2021,Tamil Nadu,Chennai,floods,2021-11-07,2021-11-05,2021-11-15,13.0827,80.2707,IMD Monsoon Rainfall Nov 2021,https://mausam.imd.gov.in/,report,verified,Continuous extreme deluges causing widespread inundation and infrastructure damage.
TN_BUREVI_2020,Cyclone Burevi 2020,Tamil Nadu,Thoothukudi,cyclones,2020-12-03,2020-11-30,2020-12-05,8.81,78.14,IMD Cyclone Burevi Report,https://mausam.imd.gov.in/,report,verified,Severe storm entering Gulf of Mannar bringing extreme rain to Thoothukudi.
TN_NADA_2016,Cyclone Nada 2016,Tamil Nadu,Cuddalore,cyclones,2016-12-02,2016-11-29,2016-12-03,11.748,79.7714,IMD Cyclone Nada Report,https://mausam.imd.gov.in/,report,verified, landfall near Cuddalore as a cyclonic storm bringing moderate flooding.
