event_id,event_name,district,disaster_type,impact_date,best_s1_pre,best_s1_post,s1_pre_days,s1_post_days,s1_relative_orbit_match,s1_orbit_direction_match,s1_coverage,s1_quality_tier,best_s2_pre,best_s2_post,s2_pre_days,s2_post_days,s2_cloud_pre,s2_cloud_post,s2_valid_pre,s2_valid_post,s2_coverage,s2_quality_tier,overall_tier,recommended_for_training,reason
TN_CHENNAI_FLOOD_2015,Chennai Floods 2015,Chennai,floods,2015-12-01,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20151031T003131_20151031T003200_008389_00BD95_33F3,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20151206T003120_20151206T003149_008914_00CC1F_BEF9,31,5,true,true,1.0,S1_TIER_3 = SAR_USABLE,none,none,-1,-1,-1.0,-1.0,0.0,0.0,0.0,S2_UNAVAILABLE,SAR_ONLY_WEAK,true,"Usable SAR pair with larger temporal distance, optical cloudy."
TN_VARDAH_2016,Cyclone Vardah 2016,Chennai,cyclones,2016-12-12,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20161130T003135_20161130T003200_014164_016E0D_675E,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20161218T003051_20161218T003125_003443_005E20_4C67,12,6,true,true,1.0,S1_TIER_1 = EXCELLENT,none,none,-1,-1,-1.0,-1.0,0.0,0.0,0.0,S2_UNAVAILABLE,SAR_ONLY_GOOD,true,"Strong orbit-aligned SAR pair available, optical is cloudy."
TN_GAJA_2018,Cyclone Gaja 2018,Nagapattinam,cyclones,2018-11-16,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181108T003213_20181108T003238_024489_02AF7A_4E6C,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181120T003213_20181120T003238_024664_02B5ED_EB05,8,4,true,true,1.0,S1_TIER_1 = EXCELLENT,none,none,-1,-1,-1.0,-1.0,0.0,0.0,0.0,S2_UNAVAILABLE,SAR_ONLY_GOOD,true,"Strong orbit-aligned SAR pair available, optical is cloudy."
TN_NIVAR_2020,Cyclone Nivar 2020,Cuddalore,cyclones,2020-11-26,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201121T003206_20201121T003231_035339_0420EC_F580,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201203T003206_20201203T003231_035514_0426F6_0C55,5,7,true,true,1.0,S1_TIER_1 = EXCELLENT,COPERNICUS/S2_SR_HARMONIZED/20201121T050121_20201121T051432_T44PLT,COPERNICUS/S2_SR_HARMONIZED/20201211T050211_20201211T050209_T44PLT,5,15,10.25,6.47,56.27,56.27,1.0,S2_TIER_2 = GOOD,MULTIMODAL_EXCELLENT,true,Excellent orbit-aligned SAR and cloud-free optical pairs available.
TN_MICHAUNG_2023,Cyclone Michaung 2023,Chennai,extreme rainfall,2023-12-04,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231130T003201_20231130T003226_051439_06353D_343D,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240117T003158_20240117T003223_052139_064D5D_F7B4,4,44,true,true,1.0,S1_TIER_3 = SAR_USABLE,none,none,-1,-1,-1.0,-1.0,0.0,0.0,0.0,S2_UNAVAILABLE,SAR_ONLY_WEAK,true,"Usable SAR pair with larger temporal distance, optical cloudy."
TN_MANDOUS_2022,Cyclone Mandous 2022,Chengalpattu,cyclones,2022-12-09,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221123T003222_20221123T003247_046014_0581C6_581E,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221217T003220_20221217T003245_046364_058DB3_A74B,16,8,true,true,1.0,S1_TIER_2 = GOOD,none,none,-1,-1,-1.0,-1.0,0.0,0.0,0.0,S2_UNAVAILABLE,SAR_ONLY_GOOD,true,"Strong orbit-aligned SAR pair available, optical is cloudy."
TN_SOUTHERN_FLOOD_2023,Southern Districts Floods 2023,Tirunelveli,floods,2023-12-17,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231205T004122_20231205T004147_051512_0637C8_0902,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231229T004121_20231229T004146_051862_0643F2_C079,12,12,true,true,1.0,S1_TIER_1 = EXCELLENT,COPERNICUS/S2_SR_HARMONIZED/20231214T051219_20231214T052420_T43PGK,COPERNICUS/S2_SR_HARMONIZED/20240118T051131_20240118T052357_T43PGK,3,32,15.08,5.49,100.0,100.0,1.0,S2_UNAVAILABLE,SAR_ONLY_GOOD,true,"Strong orbit-aligned SAR pair available, optical is cloudy."
TN_OCKHI_2017,Cyclone Ockhi 2017,Kanyakumari,cyclones,2017-11-30,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20171113T003257_20171113T003325_019239_020957_4E88,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20171207T003256_20171207T003324_019589_021456_3D9E,17,7,true,true,1.0,S1_TIER_2 = GOOD,none,none,-1,-1,-1.0,-1.0,0.0,0.0,0.0,S2_UNAVAILABLE,SAR_ONLY_GOOD,true,"Strong orbit-aligned SAR pair available, optical is cloudy."
TN_FENGAL_2024,Cyclone Fengal 2024,Villupuram,cyclones,2024-11-30,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20241112T003223_20241112T003248_056514_06EDA5_9877,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20241206T003221_20241206T003246_056864_06FB8D_9FDB,18,6,true,true,1.0,S1_TIER_2 = GOOD,none,none,-1,-1,-1.0,-1.0,0.0,0.0,0.0,S2_UNAVAILABLE,SAR_ONLY_GOOD,true,"Strong orbit-aligned SAR pair available, optical is cloudy."
TN_CHENNAI_FLOOD_2021,Chennai Floods 2021,Chennai,floods,2021-11-07,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20211023T003148_20211023T003213_040239_04C461_42A6,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20211116T003147_20211116T003212_040589_04D094_DB41,15,9,true,true,1.0,S1_TIER_2 = GOOD,COPERNICUS/S2_SR_HARMONIZED/20211027T045911_20211027T050927_T44PMV,COPERNICUS/S2_SR_HARMONIZED/20211206T050201_20211206T050201_T44PMV,11,29,12.7,11.47,100.0,100.0,1.0,S2_TIER_2 = GOOD,MULTIMODAL_EXCELLENT,true,Excellent orbit-aligned SAR and cloud-free optical pairs available.
