event_id,state,district,disaster_type,pre_post,sensor,product_id,product_name,acquisition_date,processing_level,source,source_url,crs,resolution,width,height,bounds,cloud_percentage,valid_pixel_percentage,file_path,file_size_mb,sha256,qc_status,notes
TN_CHENNAI_FLOOD_2015,Tamil Nadu,Chennai,floods,PRE,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20151031T003131_20151031T003200_008389_00BD95_33F3,S1A_IW_GRDH_1SDV_20151031T003131_20151031T003200_008389_00BD95_33F3,2015-10-31,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,data/tamil_nadu/raw/TN_CHENNAI_FLOOD_2015/sentinel1/TN_CHENNAI_FLOOD_2015_S1_PRE.tif,18.5,2fce0659e02a01c84db7b61024ba1606bbde0386bc374712e1ee4d53a71d58dd,PASS,Standard verification clean
TN_CHENNAI_FLOOD_2015,Tamil Nadu,Chennai,floods,POST,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20151206T003120_20151206T003149_008914_00CC1F_BEF9,S1A_IW_GRDH_1SDV_20151206T003120_20151206T003149_008914_00CC1F_BEF9,2015-12-06,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,data/tamil_nadu/raw/TN_CHENNAI_FLOOD_2015/sentinel1/TN_CHENNAI_FLOOD_2015_S1_POST.tif,18.47,a5bfa2add563d6962791070f1f41d69f4a1fef69937a179b1df9e1c0d2483389,PASS,Standard verification clean
TN_CHENNAI_FLOOD_2015,Tamil Nadu,Chennai,floods,PRE,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20151031T003131_20151031T003200_008389_00BD95_33F3,S1A_IW_GRDH_1SDV_20151031T003131_20151031T003200_008389_00BD95_33F3,2015-10-31,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,data/tamil_nadu/processed/TN_CHENNAI_FLOOD_2015/sentinel1/TN_CHENNAI_FLOOD_2015_S1_PRE.tif,20.74,27e9bd45e07c56a4770dc9a2bfbb9b92ded87f1388697e64191544bd0fd444e4,PASS,Standard verification clean
TN_CHENNAI_FLOOD_2015,Tamil Nadu,Chennai,floods,POST,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20151206T003120_20151206T003149_008914_00CC1F_BEF9,S1A_IW_GRDH_1SDV_20151206T003120_20151206T003149_008914_00CC1F_BEF9,2015-12-06,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,data/tamil_nadu/processed/TN_CHENNAI_FLOOD_2015/sentinel1/TN_CHENNAI_FLOOD_2015_S1_POST.tif,20.74,00ab5c2da87e93ff1f7217533da94e3112d0b99cdc2e0abcb4fb35853cf1a8dd,PASS,Standard verification clean
TN_VARDAH_2016,Tamil Nadu,Chennai,cyclones,PRE,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20161130T003135_20161130T003200_014164_016E0D_675E,S1A_IW_GRDH_1SDV_20161130T003135_20161130T003200_014164_016E0D_675E,2016-11-30,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,data/tamil_nadu/raw/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_PRE.tif,18.34,ad60be6c786a1d3c6b056fe95e387c8c95ac68d9abaedd8d2e823dac6ae85144,PASS,Standard verification clean
TN_VARDAH_2016,Tamil Nadu,Chennai,cyclones,POST,Sentinel-1,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20161218T003051_20161218T003125_003443_005E20_4C67,S1B_IW_GRDH_1SDV_20161218T003051_20161218T003125_003443_005E20_4C67,2016-12-18,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,data/tamil_nadu/raw/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_POST.tif,18.4,52b15acda9e5b750eb2e60101ea4c992dc7dd9e03141afb7b204be818cac981c,PASS,Standard verification clean
TN_VARDAH_2016,Tamil Nadu,Chennai,cyclones,PRE,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20161130T003135_20161130T003200_014164_016E0D_675E,S1A_IW_GRDH_1SDV_20161130T003135_20161130T003200_014164_016E0D_675E,2016-11-30,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,data/tamil_nadu/processed/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_PRE.tif,20.74,31864749a28f11c69edf3a6c4d670678bb2f102df3d418c7c4f3dbd227bab94e,PASS,Standard verification clean
TN_VARDAH_2016,Tamil Nadu,Chennai,cyclones,POST,Sentinel-1,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20161218T003051_20161218T003125_003443_005E20_4C67,S1B_IW_GRDH_1SDV_20161218T003051_20161218T003125_003443_005E20_4C67,2016-12-18,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,data/tamil_nadu/processed/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_POST.tif,20.74,79fae0b37651b92aa3909d204fcd4f9e37f209e8d038cba047933617e972bec0,PASS,Standard verification clean
TN_GAJA_2018,Tamil Nadu,Nagapattinam,cyclones,PRE,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181108T003213_20181108T003238_024489_02AF7A_4E6C,S1A_IW_GRDH_1SDV_20181108T003213_20181108T003238_024489_02AF7A_4E6C,2018-11-08,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1647,1666,"BoundingBox(left=365230.0, bottom=1181970.0, right=381700.0, top=1198630.0)",N/A,100.0,data/tamil_nadu/raw/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_PRE.tif,18.31,3cd10e15a7ee7ead636296695f9373359b441ae5fb24f05413bdc77b837429f1,PASS,Standard verification clean
TN_GAJA_2018,Tamil Nadu,Nagapattinam,cyclones,POST,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181120T003213_20181120T003238_024664_02B5ED_EB05,S1A_IW_GRDH_1SDV_20181120T003213_20181120T003238_024664_02B5ED_EB05,2018-11-20,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1647,1666,"BoundingBox(left=365230.0, bottom=1181970.0, right=381700.0, top=1198630.0)",N/A,100.0,data/tamil_nadu/raw/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_POST.tif,18.35,bc093cc907346a6970f4a62c8b9278fd50155d90a19ebbcea9d11aff7c798496,PASS,Standard verification clean
