event_id,product_id,product_name,satellite,acquisition_date,instrument_mode,polarization,orbit_direction,relative_orbit,processing_level,pre_or_post,aoi_coverage,temporal_distance_days,source,candidate_status,valid_pixel_percentage
TN_CHENNAI_FLOOD_2015,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20151019T003131_20151019T003200_008214_00B8EF_82E0,S1A_IW_GRDH_1SDV_20151019T003131_20151019T003200_008214_00B8EF_82E0,Sentinel-1A,2015-10-19,IW,"VV,VH",DESCENDING,92,GRD,PRE,1.0,43,GEE,active,100.0
TN_CHENNAI_FLOOD_2015,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20151031T003131_20151031T003200_008389_00BD95_33F3,S1A_IW_GRDH_1SDV_20151031T003131_20151031T003200_008389_00BD95_33F3,Sentinel-1A,2015-10-31,IW,"VV,VH",DESCENDING,92,GRD,PRE,1.0,31,GEE,active,100.0
TN_CHENNAI_FLOOD_2015,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20151206T003120_20151206T003149_008914_00CC1F_BEF9,S1A_IW_GRDH_1SDV_20151206T003120_20151206T003149_008914_00CC1F_BEF9,Sentinel-1A,2015-12-06,IW,"VV,VH",DESCENDING,92,GRD,POST,1.0,5,GEE,active,100.0
TN_CHENNAI_FLOOD_2015,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20151218T003119_20151218T003148_009089_00D0E6_767A,S1A_IW_GRDH_1SDV_20151218T003119_20151218T003148_009089_00D0E6_767A,Sentinel-1A,2015-12-18,IW,"VV,VH",DESCENDING,92,GRD,POST,1.0,17,GEE,active,100.0
TN_VARDAH_2016,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20161106T003136_20161106T003201_013814_016338_E8C4,S1A_IW_GRDH_1SDV_20161106T003136_20161106T003201_013814_016338_E8C4,Sentinel-1A,2016-11-06,IW,"VV,VH",DESCENDING,92,GRD,PRE,1.0,36,GEE,active,100.0
TN_VARDAH_2016,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20161118T003135_20161118T003200_013989_0168A8_ECB7,S1A_IW_GRDH_1SDV_20161118T003135_20161118T003200_013989_0168A8_ECB7,Sentinel-1A,2016-11-18,IW,"VV,VH",DESCENDING,92,GRD,PRE,1.0,24,GEE,active,100.0
TN_VARDAH_2016,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20161130T003135_20161130T003200_014164_016E0D_675E,S1A_IW_GRDH_1SDV_20161130T003135_20161130T003200_014164_016E0D_675E,Sentinel-1A,2016-11-30,IW,"VV,VH",DESCENDING,92,GRD,PRE,1.0,12,GEE,active,100.0
TN_VARDAH_2016,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20161224T003134_20161224T003159_014514_017911_CFB4,S1A_IW_GRDH_1SDV_20161224T003134_20161224T003159_014514_017911_CFB4,Sentinel-1A,2016-12-24,IW,"VV,VH",DESCENDING,92,GRD,POST,1.0,12,GEE,active,100.0
TN_VARDAH_2016,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20161218T003051_20161218T003125_003443_005E20_4C67,S1B_IW_GRDH_1SDV_20161218T003051_20161218T003125_003443_005E20_4C67,Sentinel-1B,2016-12-18,IW,"VV,VH",DESCENDING,92,GRD,POST,1.0,6,GEE,active,100.0
TN_GAJA_2018,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181027T003214_20181027T003239_024314_02A963_51CA,S1A_IW_GRDH_1SDV_20181027T003214_20181027T003239_024314_02A963_51CA,Sentinel-1A,2018-10-27,IW,"VV,VH",DESCENDING,92,GRD,PRE,1.0,20,GEE,active,100.0
TN_GAJA_2018,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181108T003213_20181108T003238_024489_02AF7A_4E6C,S1A_IW_GRDH_1SDV_20181108T003213_20181108T003238_024489_02AF7A_4E6C,Sentinel-1A,2018-11-08,IW,"VV,VH",DESCENDING,92,GRD,PRE,1.0,8,GEE,active,100.0
TN_GAJA_2018,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181120T003213_20181120T003238_024664_02B5ED_EB05,S1A_IW_GRDH_1SDV_20181120T003213_20181120T003238_024664_02B5ED_EB05,Sentinel-1A,2018-11-20,IW,"VV,VH",DESCENDING,92,GRD,POST,1.0,4,GEE,active,100.0
TN_GAJA_2018,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181202T003213_20181202T003238_024839_02BC1F_E70B,S1A_IW_GRDH_1SDV_20181202T003213_20181202T003238_024839_02BC1F_E70B,Sentinel-1A,2018-12-02,IW,"VV,VH",DESCENDING,92,GRD,POST,1.0,16,GEE,active,100.0
TN_NIVAR_2020,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201028T003207_20201028T003232_034989_0414CB_EE56,S1A_IW_GRDH_1SDV_20201028T003207_20201028T003232_034989_0414CB_EE56,Sentinel-1A,2020-10-28,IW,"VV,VH",DESCENDING,92,GRD,PRE,1.0,29,GEE,active,99.62
TN_NIVAR_2020,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201028T003232_20201028T003257_034989_0414CB_E989,S1A_IW_GRDH_1SDV_20201028T003232_20201028T003257_034989_0414CB_E989,Sentinel-1A,2020-10-28,IW,"VV,VH",DESCENDING,92,GRD,PRE,1.0,29,GEE,active,0.36
TN_NIVAR_2020,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201109T003207_20201109T003232_035164_041AD2_C278,S1A_IW_GRDH_1SDV_20201109T003207_20201109T003232_035164_041AD2_C278,Sentinel-1A,2020-11-09,IW,"VV,VH",DESCENDING,92,GRD,PRE,1.0,17,GEE,active,99.62
TN_NIVAR_2020,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201109T003232_20201109T003257_035164_041AD2_57EE,S1A_IW_GRDH_1SDV_20201109T003232_20201109T003257_035164_041AD2_57EE,Sentinel-1A,2020-11-09,IW,"VV,VH",DESCENDING,92,GRD,PRE,1.0,17,GEE,active,0.36
TN_NIVAR_2020,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201121T003206_20201121T003231_035339_0420EC_F580,S1A_IW_GRDH_1SDV_20201121T003206_20201121T003231_035339_0420EC_F580,Sentinel-1A,2020-11-21,IW,"VV,VH",DESCENDING,92,GRD,PRE,1.0,5,GEE,active,99.62
TN_NIVAR_2020,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201121T003231_20201121T003256_035339_0420EC_B8DA,S1A_IW_GRDH_1SDV_20201121T003231_20201121T003256_035339_0420EC_B8DA,Sentinel-1A,2020-11-21,IW,"VV,VH",DESCENDING,92,GRD,PRE,1.0,5,GEE,active,0.36
