event_id,product_id,product_name,acquisition_date,tile,cloud_percentage,valid_pixel_percentage,pre_or_post,aoi_coverage,temporal_distance_days,source,candidate_status
TN_NIVAR_2020,COPERNICUS/S2_SR_HARMONIZED/20201027T045909_20201027T050433_T44PLT,20201027T045909_20201027T050433_T44PLT,2020-10-27,44PLT,10.25,56.27,PRE,1.0,30,GEE,active
TN_NIVAR_2020,COPERNICUS/S2_SR_HARMONIZED/20201101T045941_20201101T051109_T44PLT,20201101T045941_20201101T051109_T44PLT,2020-11-01,44PLT,6.24,56.27,PRE,1.0,25,GEE,active
TN_NIVAR_2020,COPERNICUS/S2_SR_HARMONIZED/20201101T045941_20201101T051109_T44PLU,20201101T045941_20201101T051109_T44PLU,2020-11-01,44PLU,2.54,100.0,PRE,1.0,25,GEE,active
TN_NIVAR_2020,COPERNICUS/S2_SR_HARMONIZED/20201121T050121_20201121T051432_T44PLT,20201121T050121_20201121T051432_T44PLT,2020-11-21,44PLT,10.25,56.27,PRE,1.0,5,GEE,active
TN_NIVAR_2020,COPERNICUS/S2_SR_HARMONIZED/20201121T050121_20201121T051432_T44PLU,20201121T050121_20201121T051432_T44PLU,2020-11-21,44PLU,5.31,100.0,PRE,1.0,5,GEE,active
TN_NIVAR_2020,COPERNICUS/S2_SR_HARMONIZED/20201211T050211_20201211T050209_T44PLT,20201211T050211_20201211T050209_T44PLT,2020-12-11,44PLT,6.47,56.27,POST,1.0,15,GEE,active
TN_NIVAR_2020,COPERNICUS/S2_SR_HARMONIZED/20201211T050211_20201211T050209_T44PLU,20201211T050211_20201211T050209_T44PLU,2020-12-11,44PLU,13.4,100.0,POST,1.0,15,GEE,active
TN_MICHAUNG_2023,COPERNICUS/S2_SR_HARMONIZED/20240115T050141_20240115T051314_T44PMV,20240115T050141_20240115T051314_T44PMV,2024-01-15,44PMV,14.28,100.0,POST,1.0,42,GEE,active
TN_MANDOUS_2022,COPERNICUS/S2_SR_HARMONIZED/20221216T050219_20221216T051404_T44PLU,20221216T050219_20221216T051404_T44PLU,2022-12-16,44PLU,19.65,26.06,POST,1.0,7,GEE,active
TN_MANDOUS_2022,COPERNICUS/S2_SR_HARMONIZED/20221216T050219_20221216T051404_T44PLV,20221216T050219_20221216T051404_T44PLV,2022-12-16,44PLV,2.81,26.81,POST,1.0,7,GEE,active
TN_MANDOUS_2022,COPERNICUS/S2_SR_HARMONIZED/20221216T050219_20221216T051404_T44PMV,20221216T050219_20221216T051404_T44PMV,2022-12-16,44PMV,12.31,80.76,POST,1.0,7,GEE,active
TN_MANDOUS_2022,COPERNICUS/S2_SR_HARMONIZED/20230105T050209_20230105T051339_T44PMU,20230105T050209_20230105T051339_T44PMU,2023-01-05,44PMU,16.17,78.55,POST,1.0,27,GEE,active
TN_SOUTHERN_FLOOD_2023,COPERNICUS/S2_SR_HARMONIZED/20231214T051219_20231214T052420_T43PGK,20231214T051219_20231214T052420_T43PGK,2023-12-14,43PGK,15.08,100.0,PRE,1.0,3,GEE,active
TN_SOUTHERN_FLOOD_2023,COPERNICUS/S2_SR_HARMONIZED/20231214T051219_20231214T052420_T43PHK,20231214T051219_20231214T052420_T43PHK,2023-12-14,43PHK,19.88,32.5,PRE,1.0,3,GEE,active
TN_SOUTHERN_FLOOD_2023,COPERNICUS/S2_SR_HARMONIZED/20240103T051219_20240103T052207_T43PHK,20240103T051219_20240103T052207_T43PHK,2024-01-03,43PHK,17.23,32.5,POST,1.0,17,GEE,active
TN_SOUTHERN_FLOOD_2023,COPERNICUS/S2_SR_HARMONIZED/20240118T051131_20240118T052357_T43PGK,20240118T051131_20240118T052357_T43PGK,2024-01-18,43PGK,5.49,100.0,POST,1.0,32,GEE,active
TN_SOUTHERN_FLOOD_2023,COPERNICUS/S2_SR_HARMONIZED/20240123T051119_20240123T052221_T43PGK,20240123T051119_20240123T052221_T43PGK,2024-01-23,43PGK,15.96,100.0,POST,1.0,37,GEE,active
TN_OCKHI_2017,COPERNICUS/S2_SR_HARMONIZED/20171205T051159_20171205T051153_T43NGJ,20171205T051159_20171205T051153_T43NGJ,2017-12-05,43NGJ,1.0,79.39,POST,1.0,5,GEE,active
TN_FENGAL_2024,COPERNICUS/S2_SR_HARMONIZED/20241026T045819_20241026T051112_T44PLU,20241026T045819_20241026T051112_T44PLU,2024-10-26,44PLU,0.01,100.0,PRE,1.0,35,GEE,active
TN_CHENNAI_FLOOD_2021,COPERNICUS/S2_SR_HARMONIZED/20211002T045659_20211002T051209_T44PMV,20211002T045659_20211002T051209_T44PMV,2021-10-02,44PMV,12.59,100.0,PRE,1.0,36,GEE,active
TN_CHENNAI_FLOOD_2021,COPERNICUS/S2_SR_HARMONIZED/20211027T045911_20211027T050927_T44PMV,20211027T045911_20211027T050927_T44PMV,2021-10-27,44PMV,12.7,100.0,PRE,1.0,11,GEE,active
TN_CHENNAI_FLOOD_2021,COPERNICUS/S2_SR_HARMONIZED/20211201T050149_20211201T051108_T44PMV,20211201T050149_20211201T051108_T44PMV,2021-12-01,44PMV,18.57,100.0,POST,1.0,24,GEE,active
TN_CHENNAI_FLOOD_2021,COPERNICUS/S2_SR_HARMONIZED/20211206T050201_20211206T050201_T44PMV,20211206T050201_20211206T050201_T44PMV,2021-12-06,44PMV,11.47,100.0,POST,1.0,29,GEE,active
TN_BUREVI_2020,COPERNICUS/S2_SR_HARMONIZED/20201005T050701_20201005T051738_T43PHK,20201005T050701_20201005T051738_T43PHK,2020-10-05,43PHK,9.9,100.0,PRE,1.0,59,GEE,active
TN_BUREVI_2020,COPERNICUS/S2_SR_HARMONIZED/20201109T051029_20201109T052134_T43PHK,20201109T051029_20201109T052134_T43PHK,2020-11-09,43PHK,1.09,100.0,PRE,1.0,24,GEE,active
TN_BUREVI_2020,COPERNICUS/S2_SR_HARMONIZED/20201209T051209_20201209T051421_T43PHK,20201209T051209_20201209T051421_T43PHK,2020-12-09,43PHK,17.37,100.0,POST,1.0,6,GEE,active
