event_id,file_path,folder_type,sensor,stage,qc_status,valid_pixel_percentage,errors
TN_CHENNAI_FLOOD_2015,data/tamil_nadu/raw/TN_CHENNAI_FLOOD_2015/sentinel1/TN_CHENNAI_FLOOD_2015_S1_PRE.tif,raw,sentinel1,PRE,PASS,100.0,none
TN_CHENNAI_FLOOD_2015,data/tamil_nadu/raw/TN_CHENNAI_FLOOD_2015/sentinel1/TN_CHENNAI_FLOOD_2015_S1_POST.tif,raw,sentinel1,POST,PASS,100.0,none
TN_CHENNAI_FLOOD_2015,data/tamil_nadu/processed/TN_CHENNAI_FLOOD_2015/sentinel1/TN_CHENNAI_FLOOD_2015_S1_PRE.tif,processed,sentinel1,PRE,PASS,100.0,none
TN_CHENNAI_FLOOD_2015,data/tamil_nadu/processed/TN_CHENNAI_FLOOD_2015/sentinel1/TN_CHENNAI_FLOOD_2015_S1_POST.tif,processed,sentinel1,POST,PASS,100.0,none
TN_VARDAH_2016,data/tamil_nadu/raw/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_PRE.tif,raw,sentinel1,PRE,PASS,100.0,none
TN_VARDAH_2016,data/tamil_nadu/raw/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_POST.tif,raw,sentinel1,POST,PASS,100.0,none
TN_VARDAH_2016,data/tamil_nadu/processed/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_PRE.tif,processed,sentinel1,PRE,PASS,100.0,none
TN_VARDAH_2016,data/tamil_nadu/processed/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_POST.tif,processed,sentinel1,POST,PASS,100.0,none
TN_GAJA_2018,data/tamil_nadu/raw/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_PRE.tif,raw,sentinel1,PRE,PASS,100.0,none
TN_GAJA_2018,data/tamil_nadu/raw/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_POST.tif,raw,sentinel1,POST,PASS,100.0,none
TN_GAJA_2018,data/tamil_nadu/processed/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_PRE.tif,processed,sentinel1,PRE,PASS,100.0,none
TN_GAJA_2018,data/tamil_nadu/processed/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_POST.tif,processed,sentinel1,POST,PASS,100.0,none
TN_NIVAR_2020,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_PRE.tif,raw,sentinel1,PRE,PASS,99.55,none
TN_NIVAR_2020,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_POST.tif,raw,sentinel1,POST,PASS,99.54,none
TN_NIVAR_2020,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_PRE.tif,raw,sentinel2,PRE,PASS,99.98,none
TN_NIVAR_2020,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_POST.tif,raw,sentinel2,POST,PASS,56.21,none
TN_NIVAR_2020,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_PRE.tif,processed,sentinel1,PRE,PASS,99.55,none
TN_NIVAR_2020,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_POST.tif,processed,sentinel1,POST,PASS,99.54,none
TN_NIVAR_2020,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_PRE.tif,processed,sentinel2,PRE,PASS,99.98,none
TN_NIVAR_2020,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_POST.tif,processed,sentinel2,POST,PASS,56.21,none
TN_MICHAUNG_2023,data/tamil_nadu/raw/TN_MICHAUNG_2023/sentinel1/TN_MICHAUNG_2023_S1_PRE.tif,raw,sentinel1,PRE,PASS,100.0,none
TN_MICHAUNG_2023,data/tamil_nadu/raw/TN_MICHAUNG_2023/sentinel1/TN_MICHAUNG_2023_S1_POST.tif,raw,sentinel1,POST,PASS,100.0,none
TN_MICHAUNG_2023,data/tamil_nadu/processed/TN_MICHAUNG_2023/sentinel1/TN_MICHAUNG_2023_S1_PRE.tif,processed,sentinel1,PRE,PASS,100.0,none
TN_MICHAUNG_2023,data/tamil_nadu/processed/TN_MICHAUNG_2023/sentinel1/TN_MICHAUNG_2023_S1_POST.tif,processed,sentinel1,POST,PASS,100.0,none
