event_id,file_path,folder_type,sensor,stage,qc_status,valid_pixel_percentage,errors
TN_VARDAH_2016,data/tamil_nadu/raw/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_PRE.tif,raw,sentinel1,PRE,PASS,100.0,none
TN_VARDAH_2016,data/tamil_nadu/raw/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_POST.tif,raw,sentinel1,POST,PASS,100.0,none
TN_VARDAH_2016,data/tamil_nadu/processed/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_PRE.tif,processed,sentinel1,PRE,PASS,100.0,none
TN_VARDAH_2016,data/tamil_nadu/processed/TN_VARDAH_2016/sentinel1/TN_VARDAH_2016_S1_POST.tif,processed,sentinel1,POST,PASS,100.0,none
TN_GAJA_2018,data/tamil_nadu/raw/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_PRE.tif,raw,sentinel1,PRE,PASS,100.0,none
TN_GAJA_2018,data/tamil_nadu/raw/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_POST.tif,raw,sentinel1,POST,PASS,100.0,none
TN_GAJA_2018,data/tamil_nadu/processed/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_PRE.tif,processed,sentinel1,PRE,PASS,100.0,none
TN_GAJA_2018,data/tamil_nadu/processed/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_POST.tif,processed,sentinel1,POST,PASS,100.0,none
TN_NIVAR_2020,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_PRE.tif,raw,sentinel1,PRE,PASS,99.55,none
TN_NIVAR_2020,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_POST.tif,raw,sentinel1,POST,PASS,99.54,none
TN_NIVAR_2020,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_PRE.tif,raw,sentinel2,PRE,PASS,56.21,none
TN_NIVAR_2020,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_POST.tif,raw,sentinel2,POST,PASS,56.21,none
TN_NIVAR_2020,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_PRE.tif,processed,sentinel1,PRE,PASS,99.55,none
TN_NIVAR_2020,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_POST.tif,processed,sentinel1,POST,PASS,99.54,none
TN_NIVAR_2020,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_PRE.tif,processed,sentinel2,PRE,PASS,56.21,none
TN_NIVAR_2020,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_POST.tif,processed,sentinel2,POST,PASS,56.21,none
TN_MANDOUS_2022,data/tamil_nadu/raw/TN_MANDOUS_2022/sentinel1/TN_MANDOUS_2022_S1_PRE.tif,raw,sentinel1,PRE,PASS,100.0,none
TN_MANDOUS_2022,data/tamil_nadu/raw/TN_MANDOUS_2022/sentinel1/TN_MANDOUS_2022_S1_POST.tif,raw,sentinel1,POST,PASS,100.0,none
TN_MANDOUS_2022,data/tamil_nadu/processed/TN_MANDOUS_2022/sentinel1/TN_MANDOUS_2022_S1_PRE.tif,processed,sentinel1,PRE,PASS,100.0,none
TN_MANDOUS_2022,data/tamil_nadu/processed/TN_MANDOUS_2022/sentinel1/TN_MANDOUS_2022_S1_POST.tif,processed,sentinel1,POST,PASS,100.0,none
TN_SOUTHERN_FLOOD_2023,data/tamil_nadu/raw/TN_SOUTHERN_FLOOD_2023/sentinel1/TN_SOUTHERN_FLOOD_2023_S1_PRE.tif,raw,sentinel1,PRE,PASS,26.56,none
TN_SOUTHERN_FLOOD_2023,data/tamil_nadu/raw/TN_SOUTHERN_FLOOD_2023/sentinel1/TN_SOUTHERN_FLOOD_2023_S1_POST.tif,raw,sentinel1,POST,PASS,26.49,none
TN_SOUTHERN_FLOOD_2023,data/tamil_nadu/processed/TN_SOUTHERN_FLOOD_2023/sentinel1/TN_SOUTHERN_FLOOD_2023_S1_PRE.tif,processed,sentinel1,PRE,PASS,26.56,none
TN_SOUTHERN_FLOOD_2023,data/tamil_nadu/processed/TN_SOUTHERN_FLOOD_2023/sentinel1/TN_SOUTHERN_FLOOD_2023_S1_POST.tif,processed,sentinel1,POST,PASS,26.49,none
TN_OCKHI_2017,data/tamil_nadu/raw/TN_OCKHI_2017/sentinel1/TN_OCKHI_2017_S1_PRE.tif,raw,sentinel1,PRE,PASS,100.0,none
