building_id,event_id,sample_type,qc_status,errors
TN_VARDAH_2016_000003,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_000001,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_021812,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_046548,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_071278,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_071942,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_096226,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_123776,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_153525,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_183189,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_000002,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_000004,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_021814,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_046553,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_071277,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_072795,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_096267,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_123782,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_153527,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_183194,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_004983,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_005013,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_026771,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_051508,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_076255,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_076370,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_101198,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_128748,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_158503,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_188127,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_009951,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_009960,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_031712,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_056431,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_081204,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_081563,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_106158,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_133703,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_163430,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_193112,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_009969,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_009965,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_031727,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_056438,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_081209,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_085565,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_106163,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_133727,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_163427,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_193111,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_014926,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_014925,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_036672,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_061386,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_086150,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_091448,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_111089,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_138658,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_168391,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_198058,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_019885,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_019891,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_041620,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_066342,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_091106,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_092127,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_116032,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_143610,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_173311,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_202999,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_091132,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_096100,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_116128,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_143713,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_173319,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_202995,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_121014,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_121046,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_178974,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_206062,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_153524,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_000005,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_000019,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_021815,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_046549,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_071282,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_071959,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_096232,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_123780,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_153529,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_183190,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_000006,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_000033,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_021825,TN_VARDAH_2016,SAR_ONLY,PASS,none
