building_id,location,split,damage_label,sar_pre_path,sar_post_path,optical_pre_path,optical_post_path,building_mask_path,chip_size,resolution,crs,valid_sar,valid_optical
chennai_bld_000009,chennai,train,0,data/model_ready/chennai/train/chennai_bld_000009_sar_pre.npy,data/model_ready/chennai/train/chennai_bld_000009_sar_post.npy,data/model_ready/chennai/train/chennai_bld_000009_optical_pre.npy,data/model_ready/chennai/train/chennai_bld_000009_optical_post.npy,data/model_ready/chennai/train/chennai_bld_000009_mask.npy,32,10.0,EPSG:32644,True,True
chennai_bld_000004,chennai,train,0,data/model_ready/chennai/train/chennai_bld_000004_sar_pre.npy,data/model_ready/chennai/train/chennai_bld_000004_sar_post.npy,data/model_ready/chennai/train/chennai_bld_000004_optical_pre.npy,data/model_ready/chennai/train/chennai_bld_000004_optical_post.npy,data/model_ready/chennai/train/chennai_bld_000004_mask.npy,32,10.0,EPSG:32644,True,True
chennai_bld_000005,chennai,train,0,data/model_ready/chennai/train/chennai_bld_000005_sar_pre.npy,data/model_ready/chennai/train/chennai_bld_000005_sar_post.npy,data/model_ready/chennai/train/chennai_bld_000005_optical_pre.npy,data/model_ready/chennai/train/chennai_bld_000005_optical_post.npy,data/model_ready/chennai/train/chennai_bld_000005_mask.npy,32,10.0,EPSG:32644,True,True
chennai_bld_000008,chennai,train,0,data/model_ready/chennai/train/chennai_bld_000008_sar_pre.npy,data/model_ready/chennai/train/chennai_bld_000008_sar_post.npy,data/model_ready/chennai/train/chennai_bld_000008_optical_pre.npy,data/model_ready/chennai/train/chennai_bld_000008_optical_post.npy,data/model_ready/chennai/train/chennai_bld_000008_mask.npy,32,10.0,EPSG:32644,True,True
chennai_bld_000002,chennai,train,0,data/model_ready/chennai/train/chennai_bld_000002_sar_pre.npy,data/model_ready/chennai/train/chennai_bld_000002_sar_post.npy,data/model_ready/chennai/train/chennai_bld_000002_optical_pre.npy,data/model_ready/chennai/train/chennai_bld_000002_optical_post.npy,data/model_ready/chennai/train/chennai_bld_000002_mask.npy,32,10.0,EPSG:32644,True,True
chennai_bld_000003,chennai,train,0,data/model_ready/chennai/train/chennai_bld_000003_sar_pre.npy,data/model_ready/chennai/train/chennai_bld_000003_sar_post.npy,data/model_ready/chennai/train/chennai_bld_000003_optical_pre.npy,data/model_ready/chennai/train/chennai_bld_000003_optical_post.npy,data/model_ready/chennai/train/chennai_bld_000003_mask.npy,32,10.0,EPSG:32644,True,True
chennai_bld_000001,chennai,train,0,data/model_ready/chennai/train/chennai_bld_000001_sar_pre.npy,data/model_ready/chennai/train/chennai_bld_000001_sar_post.npy,data/model_ready/chennai/train/chennai_bld_000001_optical_pre.npy,data/model_ready/chennai/train/chennai_bld_000001_optical_post.npy,data/model_ready/chennai/train/chennai_bld_000001_mask.npy,32,10.0,EPSG:32644,True,True
chennai_bld_000011,chennai,train,0,data/model_ready/chennai/train/chennai_bld_000011_sar_pre.npy,data/model_ready/chennai/train/chennai_bld_000011_sar_post.npy,data/model_ready/chennai/train/chennai_bld_000011_optical_pre.npy,data/model_ready/chennai/train/chennai_bld_000011_optical_post.npy,data/model_ready/chennai/train/chennai_bld_000011_mask.npy,32,10.0,EPSG:32644,True,True
chennai_bld_000012,chennai,train,0,data/model_ready/chennai/train/chennai_bld_000012_sar_pre.npy,data/model_ready/chennai/train/chennai_bld_000012_sar_post.npy,data/model_ready/chennai/train/chennai_bld_000012_optical_pre.npy,data/model_ready/chennai/train/chennai_bld_000012_optical_post.npy,data/model_ready/chennai/train/chennai_bld_000012_mask.npy,32,10.0,EPSG:32644,True,True
chennai_bld_000006,chennai,train,0,data/model_ready/chennai/train/chennai_bld_000006_sar_pre.npy,data/model_ready/chennai/train/chennai_bld_000006_sar_post.npy,data/model_ready/chennai/train/chennai_bld_000006_optical_pre.npy,data/model_ready/chennai/train/chennai_bld_000006_optical_post.npy,data/model_ready/chennai/train/chennai_bld_000006_mask.npy,32,10.0,EPSG:32644,True,True
