sample_id,xbd_uid,disaster,disaster_type,peril,damage_label,damage_class,split,s1_pre_path,s1_post_path,s2_pre_path,s2_post_path,building_mask_path,geometry
xbd_bld_072656,hurricane-michael_00000032,hurricane-michael,wind,storm,damaged,1,train,data/xbd_s12/s1/hurricane-michael_00000032_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000032_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000032_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000032_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000032_mask_sim.npy,"POLYGON ((-85.61390105149458 30.135997181630035, -85.61390105149458 30.136197181630035, -85.61410105149459 30.136197181630035, -85.61410105149459 30.135997181630035, -85.61390105149458 30.135997181630035))"
xbd_bld_078201,hurricane-michael_00000136,hurricane-michael,wind,storm,damaged,1,train,data/xbd_s12/s1/hurricane-michael_00000136_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000136_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000136_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000136_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000136_mask_sim.npy,"POLYGON ((-85.6459596308729 30.092918851830635, -85.6459596308729 30.093118851830635, -85.6461596308729 30.093118851830635, -85.6461596308729 30.092918851830635, -85.6459596308729 30.092918851830635))"
xbd_bld_199677,nepal-flooding_00000407,nepal-flooding,flooding,flood,intact,0,train,data/xbd_s12/s1/nepal-flooding_00000407_pre_disaster_s1.tif,data/xbd_s12/s1/nepal-flooding_00000407_post_disaster_s1.tif,data/xbd_s12/s2/nepal-flooding_00000407_pre_disaster_s2.tif,data/xbd_s12/s2/nepal-flooding_00000407_post_disaster_s2.tif,data/phase6/masks/nepal-flooding_00000407_mask_sim.npy,"POLYGON ((83.3900359085475 26.69199349168581, 83.3900359085475 26.69219349168581, 83.3898359085475 26.69219349168581, 83.3898359085475 26.69199349168581, 83.3900359085475 26.69199349168581))"
xbd_bld_078312,hurricane-michael_00000138,hurricane-michael,wind,storm,damaged,1,test,data/xbd_s12/s1/hurricane-michael_00000138_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000138_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000138_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000138_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000138_mask_sim.npy,"POLYGON ((-85.65841183910257 30.100611626983934, -85.65841183910257 30.100811626983933, -85.65861183910258 30.100811626983933, -85.65861183910258 30.100611626983934, -85.65841183910257 30.100611626983934))"
xbd_bld_077885,hurricane-michael_00000132,hurricane-michael,wind,storm,damaged,1,train,data/xbd_s12/s1/hurricane-michael_00000132_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000132_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000132_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000132_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000132_mask_sim.npy,"POLYGON ((-85.6592405821379 30.20111226754711, -85.6592405821379 30.20131226754711, -85.6594405821379 30.20131226754711, -85.6594405821379 30.20111226754711, -85.6592405821379 30.20111226754711))"
xbd_bld_072418,hurricane-michael_00000023,hurricane-michael,wind,storm,damaged,1,val,data/xbd_s12/s1/hurricane-michael_00000023_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000023_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000023_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000023_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000023_mask_sim.npy,"POLYGON ((-85.62849687580882 30.143656005247447, -85.62849687580882 30.143856005247446, -85.62869687580883 30.143856005247446, -85.62869687580883 30.143656005247447, -85.62849687580882 30.143656005247447))"
xbd_bld_201097,nepal-flooding_00000414,nepal-flooding,flooding,flood,intact,0,train,data/xbd_s12/s1/nepal-flooding_00000414_pre_disaster_s1.tif,data/xbd_s12/s1/nepal-flooding_00000414_post_disaster_s1.tif,data/xbd_s12/s2/nepal-flooding_00000414_pre_disaster_s2.tif,data/xbd_s12/s2/nepal-flooding_00000414_post_disaster_s2.tif,data/phase6/masks/nepal-flooding_00000414_mask_sim.npy,"POLYGON ((83.39807530852157 26.690983405940948, 83.39807530852157 26.691183405940947, 83.39787530852156 26.691183405940947, 83.39787530852156 26.690983405940948, 83.39807530852157 26.690983405940948))"
xbd_bld_081576,hurricane-michael_00000188,hurricane-michael,wind,storm,damaged,1,train,data/xbd_s12/s1/hurricane-michael_00000188_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000188_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000188_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000188_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000188_mask_sim.npy,"POLYGON ((-85.67390349892975 30.167736138243363, -85.67390349892975 30.167936138243363, -85.67410349892975 30.167936138243363, -85.67410349892975 30.167736138243363, -85.67390349892975 30.167736138243363))"
xbd_bld_072323,hurricane-michael_00000021,hurricane-michael,wind,storm,damaged,1,test,data/xbd_s12/s1/hurricane-michael_00000021_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000021_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000021_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000021_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000021_mask_sim.npy,"POLYGON ((-85.63392375522396 30.14339815931097, -85.63392375522396 30.14359815931097, -85.63412375522397 30.14359815931097, -85.63412375522397 30.14339815931097, -85.63392375522396 30.14339815931097))"
xbd_bld_201231,nepal-flooding_00000418,nepal-flooding,flooding,flood,intact,0,test,data/xbd_s12/s1/nepal-flooding_00000418_pre_disaster_s1.tif,data/xbd_s12/s1/nepal-flooding_00000418_post_disaster_s1.tif,data/xbd_s12/s2/nepal-flooding_00000418_pre_disaster_s2.tif,data/xbd_s12/s2/nepal-flooding_00000418_post_disaster_s2.tif,data/phase6/masks/nepal-flooding_00000418_mask_sim.npy,"POLYGON ((83.37673582075324 26.716413641248074, 83.37673582075324 26.716613641248074, 83.37653582075323 26.716613641248074, 83.37653582075323 26.716413641248074, 83.37673582075324 26.716413641248074))"
