properties,building_id,total_pixels,valid_pixels,valid_pixel_pct,mean_pre_vv,mean_post_vv,mean_change_vv,median_change_vv,std_change_vv,mean_pre_vh,mean_post_vh,mean_change_vh,median_change_vh,std_change_vh
"{'osm_id': 28066870, 'osm_type': 'yes'}",chennai_bld_000001,27,27,100.0,-2.3047827261465565,-3.697609512894242,-1.392827069317853,-0.9575084447860718,3.0519010045940553,-9.807072392216435,-11.216503002025464,-1.4094313162344474,-1.44219970703125,2.17788868016704
"{'osm_id': 30681102, 'osm_type': 'commercial'}",chennai_bld_000002,13,13,100.0,-2.8366367633526144,-4.540210430438702,-1.7035733736478365,-0.7314519882202148,4.280974899572647,-8.93331791804387,-8.805972172663761,0.12734585541945237,0.1467905044555664,2.3100831826314967
"{'osm_id': 32551266, 'osm_type': 'yes'}",chennai_bld_000003,14,14,100.0,-2.3550878252301897,-1.6574215207781111,0.6976662363324847,1.296186089515686,2.651723576430758,-14.308008466448102,-14.698193141392299,-0.3901844024658203,0.1619577407836914,3.115127066579999
"{'osm_id': 32551325, 'osm_type': 'yes'}",chennai_bld_000004,14,14,100.0,0.22066279820033483,0.5460339614323207,0.3253711632319859,-0.23407258093357086,3.0709347447367175,-12.055509294782366,-12.882218497140068,-0.8267087255205426,-1.0494279861450195,3.516946681891862
"{'osm_id': 32551336, 'osm_type': 'yes'}",chennai_bld_000005,7,7,100.0,4.47370365687779,2.0109818322317943,-2.462722505841936,-1.9472706317901611,1.4874816118227507,-10.159525190080915,-11.684250967843193,-1.5247256415230888,-1.65081787109375,1.2019807736998627
"{'osm_id': 32666508, 'osm_type': 'yes'}",chennai_bld_000006,10,10,100.0,-0.8432745933532715,-2.1259876251220704,-1.2827131271362304,-0.4964447021484375,3.7496125405529925,-11.460336303710937,-11.793675231933594,-0.33333864212036135,-0.46050024032592773,1.3236203390463235
"{'osm_id': 32847420, 'osm_type': 'yes'}",chennai_bld_000007,4,4,100.0,-1.215619444847107,-4.764780521392822,-3.549160957336426,-3.9656379222869873,2.0897908707834016,-11.087125778198242,-14.206806182861328,-3.1196811199188232,-3.2053751945495605,2.8424334447855535
"{'osm_id': 84084660, 'osm_type': 'yes'}",chennai_bld_000008,21,21,100.0,1.612193334670294,0.19293292363484701,-1.4192602975027901,-1.3704432249069214,2.6274442978485886,-11.138461158389138,-13.33667718796503,-2.198215121314639,-1.910893440246582,2.7006905134907204
"{'osm_id': 84084671, 'osm_type': 'yes'}",chennai_bld_000009,8,8,100.0,1.0583343505859375,-1.2702218294143677,-2.3285558223724365,-2.914945125579834,3.365231327772347,-12.475732803344727,-12.773087501525879,-0.29735469818115234,0.2048192024230957,2.2532972276784657
"{'osm_id': 106356406, 'osm_type': 'yes'}",chennai_bld_000010,4,4,100.0,3.1175267696380615,2.957012176513672,-0.16051441431045532,-0.581555962562561,2.6680850995965226,-15.16495132446289,-14.859180450439453,0.3057715892791748,0.1837005615234375,1.7701343530127933
"{'osm_id': 106356412, 'osm_type': 'yes'}",chennai_bld_000011,8,8,100.0,-0.8615307807922363,-2.873621702194214,-2.0120909214019775,-2.868129253387451,2.7634718940940175,-11.739715576171875,-12.500523567199707,-0.7608077526092529,-1.8180022239685059,3.313617521255716
"{'osm_id': 106356414, 'osm_type': 'yes'}",chennai_bld_000012,2,2,100.0,-0.9225935935974121,-2.279857635498047,-1.3572639226913452,-1.3572639226913452,0.2186964750289917,-10.499314308166504,-13.71989631652832,-3.220581531524658,-3.220581531524658,2.21211576461792
"{'osm_id': 214598985, 'osm_type': 'yes'}",chennai_bld_000013,16,16,100.0,-6.737301826477051,-6.45897912979126,0.27832284569740295,0.2690141201019287,3.355275350509004,-11.81141471862793,-13.106643676757812,-1.2952284812927246,-1.9498047828674316,2.4411970027657763
"{'osm_id': 214598997, 'osm_type': 'roof'}",chennai_bld_000014,13,13,100.0,-5.117164611816406,-5.572003291203425,-0.45483882610614484,-0.053876280784606934,2.8742594570237507,-10.300211979792667,-10.539169311523438,-0.2389551309438852,-0.7382726669311523,4.42321100038648
"{'osm_id': 214599011, 'osm_type': 'roof'}",chennai_bld_000015,6,6,100.0,-5.28925355275472,-6.290130615234375,-1.0008769035339355,-1.3439908027648926,4.336250117024251,-10.151857376098633,-11.421998341878256,-1.2701403299967449,-2.4471254348754883,2.2269815664892807
"{'osm_id': 214599021, 'osm_type': 'roof'}",chennai_bld_000016,8,8,100.0,-5.524630069732666,-6.53994083404541,-1.0153112411499023,-1.015034556388855,1.7792276346607305,-11.33910083770752,-13.279412269592285,-1.9403129816055298,-1.5584278106689453,2.9687342906157292
"{'osm_id': 214599023, 'osm_type': 'yes'}",chennai_bld_000017,5,5,100.0,-5.136955642700196,-6.238016510009766,-1.101060676574707,-0.833716869354248,2.549683297175845,-12.735353088378906,-12.497000885009765,0.2383523941040039,0.6118764877319336,1.4121721546425696
"{'osm_id': 214599038, 'osm_type': 'roof'}",chennai_bld_000018,5,5,100.0,-7.288825988769531,-6.5204010009765625,0.7684248924255371,1.608802318572998,3.4398411927410546,-12.51353759765625,-12.519070434570313,-0.005531692504882812,0.37235355377197266,1.8388270060132217
"{'osm_id': 214599058, 'osm_type': 'roof'}",chennai_bld_000019,5,5,100.0,-8.243533325195312,-7.804197692871094,0.4393355369567871,0.44763755798339844,2.2229904377867538,-13.821107482910156,-11.946219635009765,1.8748872756958008,1.7157268524169922,1.7200493694096168
"{'osm_id': 214599073, 'osm_type': 'train_station'}",chennai_bld_000020,3,3,100.0,-2.82817808787028,-7.012031555175781,-4.18385378519694,-4.301363945007324,2.6067864332132724,-12.006215413411459,-9.766635258992514,2.239579359690348,2.6630029678344727,0.7472532540117707
"{'osm_id': 214599080, 'osm_type': 'yes'}",chennai_bld_000021,7,7,100.0,-5.745022365025112,-5.909050532749721,-0.16402782712663924,0.3950953483581543,3.177806449482776,-12.551806858607701,-12.584893362862724,-0.03308595929827009,2.0803937911987305,3.87941610645334
