properties,building_id,total_pixels,valid_pixels,valid_pixel_pct,mean_pre_vv,mean_post_vv,mean_change_vv,median_change_vv,std_change_vv,mean_pre_vh,mean_post_vh,mean_change_vh,median_change_vh,std_change_vh,damage_label,label_type,source_label
"{'osm_id': 189153205, 'osm_type': 'yes'}",cuddalore_bld_000001,10,10,100.0,-9.080218505859374,-4.946044921875,4.134172821044922,3.3700215816497803,2.4731747814290923,-17.29371337890625,-13.22335205078125,4.070361709594726,4.040664196014404,3.402627891476041,unlabeled,unlabeled,
"{'osm_id': 189154477, 'osm_type': 'yes'}",cuddalore_bld_000002,34,34,100.0,-4.838886934168198,-3.5818564471076515,1.2570304870605469,0.8346142172813416,3.2074560746927134,-14.290583891027111,-12.677234425264244,1.6133496901568245,1.8822910785675049,2.928505281703377,unlabeled,unlabeled,
"{'osm_id': 250298965, 'osm_type': 'no'}",cuddalore_bld_000003,4,4,100.0,3.0123679637908936,-3.261423349380493,-6.273791313171387,-7.294714450836182,4.436699942467529,-10.429144859313965,-11.614423751831056,-1.185279369354248,-1.0742716789245603,2.626925033309552,unlabeled,unlabeled,
"{'osm_id': 250490211, 'osm_type': 'school'}",cuddalore_bld_000004,29,29,100.0,-8.077114762931034,-4.645685656317349,3.431428843531115,3.7738194465637207,3.721481898188077,-13.105328790072736,-11.618013579269936,1.4873157369679415,1.0648298263549805,2.387070863805925,unlabeled,unlabeled,
"{'osm_id': 253330366, 'osm_type': 'office'}",cuddalore_bld_000005,31,31,100.0,-6.8357302758001515,-7.089185160975302,-0.2534556235036542,-1.0090618133544922,4.0920703411279415,-15.27603247857863,-14.220176450667845,1.0558550434727825,1.478008270263672,2.890279221015461,unlabeled,unlabeled,
"{'osm_id': 255005561, 'osm_type': 'yes'}",cuddalore_bld_000006,35,35,100.0,-6.881739153180804,-4.151347133091518,2.730391584123884,2.5481200218200684,3.6299536088640862,-16.36132114955357,-12.43992222377232,3.9213976178850447,4.126313209533691,4.628931895784995,unlabeled,unlabeled,
"{'osm_id': 255501316, 'osm_type': 'yes'}",cuddalore_bld_000007,15,15,100.0,-5.467148844401041,-4.889714050292969,0.5774357477823894,0.1027219295501709,3.73549439744129,-11.840345255533856,-12.374857584635416,-0.5345113118489583,-0.8468694686889648,3.4108351479716728,unlabeled,unlabeled,
"{'osm_id': 257602881, 'osm_type': 'yes'}",cuddalore_bld_000008,22,22,100.0,-4.856666218150746,-4.1935130032626065,0.663153821771795,0.8499593138694763,1.9460106142595957,-13.67086375843395,-12.10192177512429,1.5689419833096592,1.3507933616638184,3.252559112522476,unlabeled,unlabeled,
"{'osm_id': 257923376, 'osm_type': 'yes'}",cuddalore_bld_000009,14,14,100.0,-4.277741023472378,-4.04218510219029,0.2355560575212751,0.2690272331237793,2.455941715490654,-13.312191554478236,-11.620099748883929,1.6920909881591797,1.464216709136963,2.79019760075773,unlabeled,unlabeled,
"{'osm_id': 257924444, 'osm_type': 'yes'}",cuddalore_bld_000010,4,4,100.0,-1.9008686542510984,-1.6085349321365356,0.2923339307308197,0.1085491180419921,1.5638177764929222,-9.672348976135254,-12.703010559082031,-3.030661106109619,-2.4254555702209473,1.3908505948897916,unlabeled,unlabeled,
"{'osm_id': 257924701, 'osm_type': 'yes'}",cuddalore_bld_000011,4,4,100.0,-4.063023090362549,-2.4493088722229004,1.6137139797210691,1.5475846529006958,0.3159901637240002,-13.104741096496582,-13.58120346069336,-0.4764626026153564,0.6373500823974609,2.2042912590024706,unlabeled,unlabeled,
"{'osm_id': 258047234, 'osm_type': 'yes'}",cuddalore_bld_000012,8,8,100.0,-6.256098747253418,-4.341541290283203,1.9145572185516355,1.567100167274475,2.5463673558828925,-13.804527282714844,-12.485273361206056,1.3192533254623413,0.7658448219299316,2.7989714840122124,unlabeled,unlabeled,
"{'osm_id': 339687729, 'osm_type': 'commercial'}",cuddalore_bld_000013,13,13,100.0,1.895978927612305,3.6275555537297177,1.7315766261174128,2.794160842895508,3.611232992697177,-4.15461672269381,-2.5917466970590444,1.56286987891564,1.3436033725738523,2.893519917667714,unlabeled,unlabeled,
"{'osm_id': 339687730, 'osm_type': 'commercial'}",cuddalore_bld_000014,6,6,100.0,-4.858310063680013,-3.252032915751139,1.6062774658203125,2.254972457885742,2.910569555059707,-13.430816650390623,-10.52905782063802,2.901758829752604,3.3375349044799805,1.34474785598064,unlabeled,unlabeled,
"{'osm_id': 339687731, 'osm_type': 'commercial'}",cuddalore_bld_000015,6,6,100.0,-0.4636746247609456,1.7895455360412598,2.253220240275065,3.5137534141540527,3.9797005379756674,-8.070869445800781,-6.4928538004557295,1.578015963236491,2.0801403522491455,2.611936473654316,unlabeled,unlabeled,
